user_id,username,signup_date,is_active,phone_number,vip_level,identity_id,score,address
1001,张三,2024/3/1,TRUE,13800138000,1,310101199001012345,89,shanghai
1002,李四,2024/3/2,FALSE,13988886666,2,320102198512123456,75,dalian
1003,王五,2024/3/3,TRUE,13777775555,10,330103199907303333,92,chengdu
1004,赵六,2024/3/4,TRUE,13666664444,3,440104197605154444,60,guangzhou
1004,赵六,2024/3/4,TRUE,13666664444,3,440104197605154444,60,nanchang
1005,孙七,2024/3/5,FALSE,13555553333,5,510105199303012222,81,shanghai
1006,周八,2024/3/6,TRUE,13444442222,7,520106198811112345,95,dalian
1007,吴九,2024/3/7,TRUE,13333331111,4,530107199912013456,78,chengdu
1008,郑十,2024/3/8,FALSE,13222229999,6,540108197402284321,66,guangzhou
1009,钱十一,2024/3/9,TRUE,13111118888,9,550109199505056789,88,nanchang
1010,冯十二,2024/3/10,TRUE,13000007777,8,610110198601017654,73,shanghai
1011,褚十三,2024/3/11,FALSE,13911112222,11,620111199211303210,70,dalian
1012,卫十四,2024/3/12,TRUE,13822223333,12,630112198912123456,91,chengdu
1013,蒋十五,2024/3/13,FALSE,13711112222,13,640113199010102233,84,guangzhou
1014,沈十六,2024/3/14,TRUE,13622223333,14,650114198703154567,77,nanchang
1015,韩十七,2024/3/15,TRUE,13533334444,15,410115199912013456,93,shanghai
1016,杨十八,2024/3/16,FALSE,13444445555,16,420116198805056789,58,dalian
1017,朱十九,2024/3/17,TRUE,13355556666,17,430117199501017654,82,chengdu
1018,秦二十,2024/3/18,TRUE,13266667777,18,450118198611303210,69,guangzhou
1019,尤二一,2024/3/19,FALSE,13177778888,19,460119199212123456,74,nanchang
1020,许二二,2024/3/20,TRUE,13088889999,20,470120198912013333,96,shanghai
1025,许二五,2024/5/20,TRUE,13099889999,25,470120023912013333,93,dalian
1026,许二六,2024/6/20,TRUE,13099886699,26,470120023912089343,89,chengdu
1027,许二七,2024/6/18,TRUE,13099777799,27,470120023912089344,87,guangzhou
1028,杨十九,2024/3/16,FALSE,13444445555,16,470120023912089345,69,dalian
1029,杨二十,2024/3/16,FALSE,13444445555,16,47012002391208934X,65,dalian
1030,许三十,2024/6/20,TRUE,13096686699,26,470120023912089343,59,chengdu
1031,许三一,2024/6/18,TRUE,13099788799,27,47012002391208934X,87,guangzhou

